Leverandørnummer,Navn,Organisasjonsnummer,Telefonnummer,Telefonnr. mobil,E-postadresse,Postadresse Linje,Postadresse Postnr.,Postadresse Sted,Postadresse Land,Forretningsadresse Linje,Forretningsadresse Postnr.,Forretningsadresse Sted,Forretningsadresse Land
20059,Allkopi Netprint AS,920415326,3218,,faktura@allkopi.no,Postboks 33 Alnabru,614,OSLO,Norge,Luhrtoppen 2,1470,LØRENSKOG,Norge
20242,Als Laboratory Group Norway AS,991974482,22 13 18 00,93207897,finance.on@alsglobal.com,Postboks 643  Skøyen,214,OSLO,Norge,Drammensveien 264,283,OSLO,Norge
20459,Ambiplants AS,899517512,,,,Doneheia 167,4516,MANDAL,Norge,Doneheia 167,4516,MANDAL,Norge
20060,Amesto Solutions AS,980607259,81 56 82 00,922 03 214,solutions@amesto.no,Postbks 6395 Etterstad,604,OSLO,Norge,Smeltedigelen 1,195,OSLO,Norge
20322,Andersen Isolering AS,990364753,,,,Korsegårdveien 63,1812,ASKIM,,Korsegårdveien 63,1812,ASKIM,
20222,Apcoa Parking Norway AS,929292065,22 05 75 00,,post@europark.no,Postboks 4754 Nydalen,421,OSLO,Norge,Sandakerveien 138,484,OSLO,Norge
20447,Arntzen De Besche Advokatfirma AS,982409705,23 89 40 00,,oslo@adeb.no,Postboks 2734 Solli,204,OSLO,Norge,Bygdøy allé 2,257,OSLO,Norge
20428,Arper S.P.A.,,,,,Via Lombardia 16,31050,Monastier di Treviso,Italia,Via Lombardia 16,31050,Monastier di Treviso,Norge
20335,Arvato Finance AS,994210130,22 87 89 00,,,Postboks 331 Sentrum,101,OSLO,,Kongens gate 6,153,OSLO,
20299,Asker Byggtjenester Limited,994024434,,98207999,,Haugveien 4,3440,RØYKEN,,Haugveien 4,3440,RØYKEN,Norge
20361,ASKER TRELAST AS,933910105,,,,Skytterveien 121,1386,ASKER,,,,,
20082,Asko Øst AS,912015238,64 98 62 00,,02425@asko.no,Postboks 164,1541,VESTBY,Norge,Delitoppen 4,1540,VESTBY,Norge
20170,"As Nestle Norge, Divisjon Nespresso",986187391,22 13 31 50,,,Postboks 713 Skøyen,214,OSLO,Norge,c/o AS Nestlè Norge,1366,LYSAKER,Norge
20189,As Realbygg,950525932,22 07 18 00,,post@realbygg.no,Postboks 233 Alnabru,614,OSLO,Norge,Stanseveien 35,976,OSLO,Norge
20109,ASSA ABLOY Entrance Systems Norway AS,919496126,,,,Strømveien 179,650,Oslo,,,,,
20173,Assemblin AS,965808752,32 27 60 60,,post@assemblin.no,Bjørnstjerne Bjørnsons gate 110,3044,DRAMMEN,Norge,Bjørnstjerne Bjørnsons gate 110,3044,DRAMMEN,Norge
20142,Atea Finance AS,991029435,22 09 50 00,,,Postboks 6472 Etterstad,605,OSLO,Norge,Brynsalléen 2,667,OSLO,Norge
20424,Ateam Inneklimaservice AS,982175577,23 12 67 00,,,Tvetenveien 164,671,OSLO,Norge,Tvetenveien 164,671,OSLO,Norge
20343,AT RIGG BYGG AS,917395489,,,,LOSBYVEIEN 1,1475,FINSTADJORDET,,,,,
20328,Atw Service AS,977062543,22 79 68 68,,,Caspar Storms vei 14,664,OSLO,,Caspar Storms vei 14,664,OSLO,
20006,Avarn Security AS,943184097,91 50 25 80,,,Træleborgodden 6,3112,TØNSBERG,,Alf Bjerckes vei 1,582,OSLO,Norge
20292,Avida Finans Ab NUF,990728488,23 33 50 00,,,Postboks 1644 Vika,119,OSLO,Norge,Munkedamsveien 45A,250,OSLO,Norge
20342,Axflow AS,918210997,22 73 67 00,,,Postboks 98 LILLEAKER,216,OSLO,,Lilleakerveien 10,283,OSLO,
20378,Balder Tjenester AS,925170011,,,,Birkeveien 29A,1459,NESODDEN,,Birkeveien 29A,1459,NESODDEN,Norge
20024,Bama Storkjøkken Oslo AS,936966802,22 72 70 70,,bsk.oslo@bama.no,Postboks 263  Alnabru,614,OSLO,Norge,Nedre Kalbakkvei 40,1081,OSLO,Norge
20442,BDO AS,993606650,,,,Munkedamsveien 45A,250,Oslo,,,,,
20127,Beck Maskin AS,991750800,,,,Håndverksveien 7,1405,Langhus,,,,,
20046,Bedrifts-sikkerhet Morten Norgård,996276058,,922 55 090,morten@bedrifts-sikkerhet.no,Stordamveien 39A,671,OSLO,Norge,Stordamveien 39A,671,OSLO,Norge
20278,BEKKEN & STRØM AS,979703058,,,,2803 GJØVIK,2803,GJØVIK,,,,,
20416,Bella Fliser og Design AS,916796560,,,,Sankt Hallvards vei 15,3414,LIERSTRANDA,Norge,Sankt Hallvards vei 15,3414,LIERSTRANDA,Norge
20433,Bember AS,996812111,,917 22 223,,Holbergs gate 21,166,OSLO,Norge,Holbergs gate 21,166,OSLO,Norge
20041,Bene Agere Norden AS,998570220,22 43 28 76,90695450,,"Postboks 573  , Sentrum",105,OSLO,Norge,Bygdøy allé 2,257,OSLO,Norge
20087,Berg & Dahl AS,884047722,,,,Strandveien 55,1366,LYSAKER,,,,,
20083,Betongforsegling AS,968703994,22 13 43 20,,,Postboks 198,1330,FORNEBU,Norge,Rolfsbuktveien 19,1364,FORNEBU,Norge
20290,Bilfinger Industrial Services,988996564,35 92 20 00,,paul.rune.aasrum@bilfinger.com,Postboks 1094,3905,PORSGRUNN,Norge,Herøya Industripark,3936,PORSGRUNN,Norge
20410,BILIA NORGE AS,976023188,,,,"Postboks 154 Skøyen, 0212 Oslo",281,OSLO,,,,,
20150,Bimo AS,912312771,63 81 88 00,,post@bimo.no,Skjærvaveien 24,1466,STRØMMEN,Norge,Skjærvaveien 24,1466,STRØMMEN,Norge
20029,Biooffice AS,986753036,22 70 00 01,,gd@biooffice.no,c/o J & T Partner AS,1300,SANDVIKA,Norge,Bjørnheimveien 4G,1086,OSLO,Norge
20440,Bjørbekk & Lindheim AS,848285722,,,,Sagveien 23A,459,Oslo,,,,,
20400,Black Cat Kaffe og Tehus AS,912123553,22 06 29 90,,,Grini Næringspark 8D,1361,ØSTERÅS,,Grini Næringspark 8D,1361,ØSTERÅS,Norge
20353,BN kort,,,,,,,,,,,,
20119,Boon Edam AS,839623542,,,,Arnstein Arnebergsvei 30,1327,Lysaker,,,,,
20185,BOSVIK AS,910750852,,,,Risørveien 667,4950,RISØR,,,,,
20136,Boxon AS,992815922,31 30 19 00,975 82 804,knut-arne@protega.com,Postboks 4108,3005,DRAMMEN,Norge,Knud Schartums gate 7,3045,DRAMMEN,Norge
20032,Brage Finans AS,995610760,55 61 00 50,,regnskap@brage.no,Postboks 7780,5020,BERGEN,Norge,Jonsvollsgaten 2,5011,BERGEN,Norge
20423,Brannfag AS,918084606,,,,Drammensveien 91B,271,OSLO,Norge,Drammensveien 91B,271,OSLO,Norge
20204,Brann- og redningsetaten,876820102,,,,Arne Garborgs pl. 1,179,OSLO,,,,,
20137,Brannslokkesystemer AS,999157386,,,,Thorudveien 40,1912,ENEBAKK,Norge,Thorudveien 40,1912,ENEBAKK,Norge
20025,Bravida Norge AS,987582561,24 04 80 00,95228535,bravida@bravida.no,Postboks 313  Økern,511,OSLO,Norge,Østre Aker vei 90,596,OSLO,Norge
20009,Bravo Audiovisual AS,912235157,4724076060,,faktura@bravoav.no,Grev Wedels plass 9,151,OSLO,Norge,Grev Wedels plass 9,151,OSLO,Norge
20306,Brekke & Strand Akustikk AS,916863071,,,,Postboks 1024 Hoff,218,OSLO,,Hovfaret 17,275,OSLO,Norge
20017,Brest AS,998391652,,,post@brest.no,Postboks 103,1312,SLEPENDEN,Norge,Nordre Øverberg 2,1397,NESØYA,Norge
20112,Brubakken AS,930730556,35 93 04 00,,,Postboks 1085,3905,PORSGRUNN,Norge,Floodmyrvegen 26,3946,PORSGRUNN,Norge
20014,Brødrene Dahl A/s,945757280,22 72 55 00,,post@dahl.no,Postboks 6146 Etterstad,602,OSLO,Norge,Brynsengveien 5,667,OSLO,Norge
20457,Bsh Husholdningsapparater AS,942381115,22 66 06 00,97790000,,"P.b. 6593 Etterstad, 0607 Oslo",667,OSLO,Norge,Brynsveien 18A,667,OSLO,Norge
20156,B Tørre AS,928271153,32 79 18 30,,b.toerre@online.no,Postboks 100,3476,SÆTRE,Norge,Sætretunet 10B,3475,SÆTRE,Norge
20203,Buysec AS,971199954,32 72 70 00,,office@buysec.no,Strandveien 7,3050,MJØNDALEN,Norge,Strandveien 7,3050,MJØNDALEN,Norge
20227,Bvs Brannvernsystemer AS,985172722,51 54 72 00,,,Nedre Banegate 19,4014,STAVANGER,,Nedre Banegate 19,4014,STAVANGER,Norge
20131,Byggbelegg Elvestad AS,974989786,,,,Cecilie Thoresensv 5 B,1153,Oslo,Norge,,,,
20362,Byggesystemer Oslo AS,958656866,,908 04 000,,Bilittveien 1,1407,VINTERBRO,,Bilittveien 1,1407,VINTERBRO,Norge
20294,Byggmakker Sør AS,988396575,61 17 40 00,,,Postboks 723,2805,GJØVIK,Norge,Ringvegen 26,2816,GJØVIK,Norge
20349,Bygg Prosjektledelse Nordskog-inger,921338643,,,,Hvittingfossveien 266,3089,HOLMESTRAND,,Hvittingfossveien 266,3089,HOLMESTRAND,Norge
20174,Bymiljøetaten,996922766,,,,Karvesvingen 3,579,OSLO,,,,,
20005,Bærum Septik og Transportforretning AS,922208352,67 53 47 35,,septas@online.no,Postboks 12,1305,HASLUM,Norge,Bjørnemyrsveien 2,1344,HASLUM,Norge
20138,Canal Digital AS,977273633,67 89 00 00,,,Postboks 800,1331,FORNEBU,Norge,Snarøyveien 30,1360,FORNEBU,Norge
20068,Canon Norge AS,914664292,22 62 92 00,,canon@canon.no,Postboks 33   Holmlia,1201,OSLO,Norge,Hallagerbakken 110,1256,OSLO,Norge
20194,Cardtech AS,885128882,45 22 44 00,,post@cardtech.no,Postboks 255  Alnabru,614,OSLO,Norge,Strømsveien 258,668,OSLO,Norge
20406,Carglass AS,985758220,22 70 76 00,,,Postboks 6452 Etterstad,605,OSLO,Norge,Ensjøveien 17,655,OSLO,Norge
20445,Cc Vest Stormarked AS,953286068,,,,Postboks 100 LILLEAKER,216,OSLO,Norge,Lilleakerveien 16,283,OSLO,Norge
20111,Centrum Elektriske AS,912609413,,,,Brynsveien 18,667,OSLO,Norge,Brynsveien 18,667,OSLO,Norge
20011,Certego AS,977023637,9145,,post@certego.no,Postboks 2497 Solheimsviken,5824,BERGEN,Norge,Fabrikkgaten 5,5059,BERGEN,Norge
20050,Claussen & Heyerdahl AS,911069555,23 39 66 80,,,Gunnar Schjelderups vei 9,485,OSLO,Norge,Gunnar Schjelderups vei 9,485,OSLO,Norge
20418,Compass Group Norge AS,952507729,,,,Drengsrudbekken 12,1371,ASKER,,,,,
20431,Concept 2 Norge AS,997642163,,,,Grini Næringspark 3,1361,ØSTERÅS,,,,,
20232,Conecto AS,952226010,67 15 78 80,,conecto@conecto.no,Postboks 85,1332,ØSTERÅS,Norge,Grini Næringspark 17,1361,ØSTERÅS,Norge
20393,Copycat AS,976814630,8180,,,Olav Brunborgs vei 6,1396,BILLINGSTAD,,Askekroken 7,277,OSLO,Norge
20249,Coromatic AS,936992234,,,,Postboks 777,1411,KOLBOTN,,,,,
20379,CORROTEAM AS,933842185,,,,Papyrusveien 33,3050,MJØNDALEN,,,,,
20280,Cowab AS,993380407,63 94 76 60,,info@cowab.no,Postboks 288,2041,KLØFTA,Norge,Kongsvingervegen 6,2040,KLØFTA,Norge
20265,Crema Kaffebrenneri AS,934459768,,,,Råstadv. 186,3239,SANDEFJORD,,,,,
20347,Crifo Trading AS,995189267,,906 31 931,,Postboks 23,1917,YTRE ENEBAKK,,Vangsveien 10,1814,ASKIM,Norge
20143,Curotech AS,979573464,38 02 60 00,90168709,epost@curotech.no,Markens gate 34,4612,KRISTIANSAND S,Norge,Markens gate 34,4612,KRISTIANSAND S,Norge
20178,Dagens Næringsliv AS,960356071,,,,Postboks 1182 Sentrum,107,OSLO,Norge,Christian Krohgs gate 16,186,OSLO,Norge
20089,Daikin Airconditioning Norway AS,837530792,23 24 59 50,,,Østensjøveien 39,667,OSLO,Norge,Østensjøveien 39,667,OSLO,Norge
20302,Dan Construct AS,915386180,,,,Jongsåsveien 3,1338,SANDVIKA,,,,,
20269,Dansani AS,961621615,23 05 21 50,,,Postboks 6661 Etterstad,609,OSLO,Norge,Karoline Kristiansens vei 8,661,OSLO,Norge
20133,Dekk1 avd. Stabekk,979579292,,,,Stabekk,1368,STABEKK,,,,,
20419,Dekkmann AS,966242825,23 06 81 00,,,Postboks 135 Bryn,611,OSLO,Norge,Fredrik Selmers vei 3,663,OSLO,Norge
20213,Dhl Express (norway) AS,960709985,66 92 80 00,,,Postboks 154 Leirdal,1009,OSLO,Norge,Gneisveien 3,2020,SKEDSMOKORSET,Norge
20266,DIBkunnskap AS,974379511,,,,Strandveien 50C,1366,Lysaker,,,,,
20282,Dieselmann AS,919263636,,,,Storbråtagutua 3,2080,EIDSVOLL,Norge,Storbråtagutua 3,2080,EIDSVOLL,Norge
20403,Directa AS,992356898,69 10 26 60,,,Skjebergveien 200,1743,KLAVESTADHAUGEN,,,,,
20166,Djerving AS,965452656,22 99 11 10,,firmapost@klu.no,Hausmanns gate 6,186,OSLO,Norge,Hausmanns gate 6,186,OSLO,Norge
20061,Dnb Bank ASA,984851006,3000,,04800@dnb.no,Postboks 1600 Sentrum,21,OSLO,Norge,Dronning Eufemias gate 30,191,OSLO,Norge
20336,Dokumentert AS,912855929,,,,Hoffsveien 9,218,OSLO,,,,,
20449,Domeneshop AS,976769678,,,,Chr Krohgs gate 16,186,Oslo,,,,,
20193,Dr. Ing. A. Aas-Jakobsen AS,941019285,,,,,283,Oslo,,,,,
20110,Duri Fagprofil AS,929381998,24 13 13 50,,,Bygg 8,582,OSLO,Norge,Bygg 8,582,OSLO,Norge
20264,Dykkerteknikk AS,913322886,,928 20 400,post@dykkerteknikk.no,Postboks 58,3481,TOFTE,Norge,Østre Strandvei 52,3482,TOFTE,Norge
20414,Dykkerteknikk AS (nye),927610418,,,,Postboks 58,3481,TOFTE,,,,,
20171,Ecliptic AS,997800354,,,,Enebakkveien 133,680,Oslo,,,,,
20094,Ecolab AS,916070276,22 68 18 00,,mette.israelsen@ecolab.com,Postboks 6440 Etterstad,605,OSLO,Norge,Innspurten 9,663,OSLO,Norge
20460,Eikland Energy AS,815346262,66 90 02 57,995 17 555,,Erlands vei 14,1392,VETTRE,Norge,Erlands vei 14,1392,VETTRE,Norge
20296,EIVA-SAFEX AS,951081817,,,,POSTBOKS 2040,3103,TØNSBERG,,,,,
20190,"Elavon Financial Services Dac,",991283900,22 43 22 00,,brukersted@elavon.com,Postboks 354  Skøyen,213,OSLO,Norge,Karenslyst allé 11,278,OSLO,Norge
20408,Electrolux Home Products Norway AS,914770009,81 53 02 22,,,"Postboks 91, Lilleaker",216,OSLO,Norge,Drammensveien 260,283,OSLO,Norge
20161,Electrolux Professional AS,923830197,81 53 01 11,,daniel.blom-bakke@electrolux.com,Postboks 67 Lilleaker,216,OSLO,Norge,Drammensveien 260,283,OSLO,Norge
20332,Elektroimportøren Norge AS,914939828,,,,Nedre Kalbakkvei 88,1081,OSLO,,Nedre Kalbakkvei 88,1081,OSLO,
20062,Elektroniske Betalings Systemer AS,980270297,66 80 50 20,,,Glynitveien 21,1400,SKI,Norge,Glynitveien 21,1400,SKI,Norge
20206,Element Arkitekter AS,981319656,,,,"Maridalsveien 3, inngang N",178,Oslo,,,,,
20246,Elis Norge AS,930151246,22 88 48 00,,,Postboks 6650 Etterstad,609,OSLO,,Smeltedigelen 1,195,OSLO,Norge
20121,Ellingard Naturstein AS,971155949,,,,Østre Akervei 103,409,OSLO,,,,,
20432,Elvia AS,980489698,2024,,,Postboks 4100,2307,HAMAR,Norge,Vangsvegen 73,2317,HAMAR,Norge
20314,Energico AS,814080382,22 65 21 65,,,Økernveien 121,579,OSLO,,Økernveien 121,579,OSLO,
20363,Energima Solel AS,914143950,,,,Fornebuveien 50,214,Oslo,,,,,
20456,Ennte AS,997971671,,,,Slynga 10,2005,RÆLINGEN,,,,,
20066,Entelios AS,819449392,,,contact.nordic@entelios.com,Postboks 603 Lundsiden,4606,KRISTIANSAND S,Norge,Kjøita 18,4630,KRISTIANSAND S,Norge
20052,Entro AS,985622914,73 87 13 00,,entro@entro.no,Postboks 6064 Torgard,7434,TRONDHEIM,Norge,Sluppenvegen 17B,7037,TRONDHEIM,Norge
20334,ENTRO IT AS - A Ørn Software Company,926166697,,,,Bassengbakken 4,7042,TRONDHEIM,,,,,
20054,Envatec AS,915465706,,46 86 52 25,kjell@envatec.no,Åsaveien 89A,3531,KROKKLEIVA,Norge,Åsaveien 89A,3531,KROKKLEIVA,Norge
20223,Enviropac AS,976714482,22 70 00 80,,info@enviropac.no,Postboks 128 Kalbakken,902,OSLO,Norge,Kakkelovnskroken 1,954,OSLO,Norge
20247,Enwa Support AS,992592451,,,,Nordre Kullerød 9,3241,Sandefjord,,,,,
20239,Epall Norge AS,999529194,,,info@epall.no,c/o BDO AS,2001,LILLESTRØM,Norge,Brobekkveien 100E,582,OSLO,Norge
20448,Ergopartner,997015347,4721520000,,,c/o Ergopartner AS Nydalsveien 28,484,OSLO,Norge,c/o Ergopartner AS Nydalsveien 28,484,OSLO,Norge
20415,Euroshopper Group AS,925554804,,,,Solgaard skog 120,1599,MOSS,Norge,Solgaard skog 120,1599,MOSS,Norge
20113,EuroSign AS,975840905,,,,Stanseveien 21,975,Oslo,,,,,
20344,Everlite AS,825602852,,,,Jon Leiras vei 10,3440,Røyken,,,,,
20340,Evry Financing AS,976788109,6500,,,Postboks 4,1330,FORNEBU,,Snarøyveien 30A,1360,FORNEBU,
20176,Evry Norge AS,933012867,22 52 80 80,,evry@evry.com,Postboks 4,1330,FORNEBU,Norge,Snarøyveien 30A,1360,FORNEBU,Norge
20031,Fablab Design AS,994970577,,45280042,siv@fablabdesign.com,1. etg.,875,OSLO,Norge,1. etg.,875,OSLO,Norge
20020,Facilitec AS,995437996,21 60 75 00,,,Industriveien 8B,1461,LØRENSKOG,,Industriveien 8B,1461,LØRENSKOG,Norge
20040,Facility Support AS,920480535,,,espen@facilitysupport.no,Lierstranda 98B,3414,LIERSTRANDA,Norge,Lierstranda 98B,3414,LIERSTRANDA,Norge
20455,Field Group AS,986276092,45 46 63 00,975 96 868,,Vækerøveien 3,281,OSLO,Norge,Vækerøveien 3,281,OSLO,Norge
20186,Filippa K AS,979110642,22 40 38 40,,,Skovveien 17,257,OSLO,Norge,Skovveien 17,257,OSLO,Norge
20327,FINN NO AS,981159772,,,,Postboks 747 Sentrum,106,OSLO,,,,,
20212,Firesafe AS,958249799,22 72 20 20,,firmapost@firesafe.no,Postboks 6411 Etterstad,605,OSLO,Norge,Robsrudskogen 15,1470,LØRENSKOG,Norge
20253,Fitness Brands Norway AS,984045719,69 34 36 20,95776610,trond.karlsen@fitnessbrands.com,Bjørnstadveien 16,1712,GRÅLUM,Norge,Bjørnstadveien 16,1712,GRÅLUM,Norge
20426,Fitness Engros Norge AS,913191595,,,,c/o Fitness Engros AS Snekker vej 4-6,3408,2630 Tåstrup,Danmark,Dølasletta 5,3408,TRANBY,Norge
20164,Fitshop Copenhagen,,4 538 281 080,,kbh@fitshop.dk,"Frederikssundsvej 316, DK-2700 Brønshøj",DK-2700,Brønshøj,Danmark,,,,
20396,Fjellinjen,941856543,,,,"Postboks 459, sentrum",105,OSLO,,,,,
20450,FlytteEksperten AS,912177823,,,,Selma Ellefsens vei 8,581,Oslo,,,,,
20366,Foldal Stempel AS,992846879,,,,Follestaddalen 1042,6156,Ørsta,,,,,
20180,Fonus AS,913040341,22 70 32 32,,,Grenseveien 74,663,OSLO,Norge,Grenseveien 74,663,OSLO,Norge
20115,Foodtech Interiør og Storkjøkken AS,910806858,22 08 70 70,,,Postboks 83 Kalbakken,902,OSLO,,Sven Oftedals vei 10,950,OSLO,Norge
20132,Form/funk AS,995253542,,,,Ryenstubben 3,679,OSLO,Norge,Ryenstubben 3,679,OSLO,Norge
20286,Fortum Markets AS,981219082,21 49 69 10,,kundeservice@fortum.com,Postboks 124,1713,GRÅLUM,Norge,Rådmann Siras vei 1,1712,GRÅLUM,Norge
20053,Fortum Tellier AS,983995691,4721494949,,,Postboks 184 Skøyen,212,OSLO,Norge,Skøyen,277,OSLO,Norge
20355,FP System Design AS,986447679,,,,Stallbakken 5,2005,RÆLINGEN,,,,,
20036,Franzefoss Gjenvinning AS,975265412,67 15 20 00,,firmapost@franzefoss.no,Postboks 53,1309,RUD,Norge,Olav Ingstadsv 5,1351,RUD,Norge
20273,Franzefoss Pukk AS,982153018,,,,Olav Ingstads vei 5,1351,Rud,,,,,
20039,Fremtind Service AS,922177724,,,,Postboks 393 Sentrum,103,OSLO,,Hammersborggata 2,181,OSLO,Norge
20443,FYSIORETTHJEM AS,922150575,,,,c/o Jemco Executive Oscars gate 81,256,OSLO,,,,,
20063,Gartner Øyvind Næss,988838497,,95809170,oynaess@online.no,Kjekstadvegen 28,2760,BRANDBU,Norge,Kjekstadvegen 28,2760,BRANDBU,Norge
20263,GERDMANS INNREDNINGER AS,934650875,,,,POSTBOKS 488,N-1302,SANDVIKA,,,,,
20281,Glassfabrikken AS,967067105,33 13 70 00,,glass@glassfabrikken.no,Hegdalveien 101,3261,LARVIK,Norge,Hegdalveien 101,3261,LARVIK,Norge
20256,GlassTeam AS,912792307,,,,Trykkeriveien 4,1653,SELLEBAKK,,,,,
20027,Glasstjenester AS,990800014,32 85 40 36,920 15 715,espen@glasstjenester.no,Svendsemarka 10,3409,TRANBY,Norge,Svendsemarka 10,3409,TRANBY,Norge
20123,Globalconnect AS,890164072,7900,,resepsjonen@broadnet.no,Postboks 54,1324,LYSAKER,Norge,Snarøyveien 36,1364,FORNEBU,Norge
20434,Gnp Energy Norge AS,895691232,21 65 10 00,,,Raveien 422,3239,SANDEFJORD,Norge,Raveien 422,3239,SANDEFJORD,Norge
20407,Gothia AS,957294227,22 87 89 00,,,Postboks 115 Sentrum,7901,RØRVIK,Norge,Kongens gate 6,153,OSLO,Norge
20139,Graphisoft Norge / Arktis AS,863355052,,,,Fridtjof Nansens vei 17,369,Oslo,,,,,
20315,Green Apple AS,928380351,22 13 30 40,,,Hoffsveien 15,275,OSLO,,Hoffsveien 15,275,OSLO,
20390,Grindaker AS,944389407,23 11 34 40,,,Postboks 1340 Vika,113,OSLO,,Rådhusgata 25,158,OSLO,Norge
20243,Gårdreform Snø og Grønt AS,965360263,22 38 38 38,,,Postboks 6782 Rodeløkka,503,OSLO,Norge,Verkseier Furulunds vei 41,668,OSLO,Norge
20441,Hafslund Oslo Celsio AS,977296919,22 43 59 80,,,Postboks 1022 Hoff,218,OSLO,Norge,Askekroken 11,277,OSLO,Norge
20317,Hanske-companiet AS,932935163,64 93 99 00,,,Postboks 195,1441,DRØBAK,,Hestehagen 3,1448,DRØBAK,
20019,Hansteen Eriksen & Sønner AS,925064378,61 32 23 91,91178983,hesmur@online.no,C/o Jan Eriksen,2740,ROA,Norge,C/o Jan Eriksen,2740,ROA,Norge
20028,Haugen Trepleie,996840611,,970 16 186,aadnehaugen@hotmail.com,Rødbergveien 5B,591,OSLO,Norge,Rødbergveien 5B,591,OSLO,Norge
20034,H C Thauglands Trælastforretning AS,916693036,23 39 36 00,,post@thaugland.no,Vitaminveien 5,485,OSLO,Norge,Vitaminveien 5,485,OSLO,Norge
20241,Hegnar Media AS,930213675,23 29 63 00,,,Postboks 724 Skøyen,214,OSLO,Norge,Hoffsveien 70A,377,OSLO,Norge
20155,Henrik O Heen AS,912537544,22 16 11 80,,,Østre Aker vei 215,975,OSLO,Norge,Østre Aker vei 215,975,OSLO,Norge
20420,Henriksen Snekkeri AS,982903742,37 09 95 05,,,Hans Thornes vei 20,4846,ARENDAL,Norge,Hans Thornes vei 20,4846,ARENDAL,Norge
20211,Honeywell Life Safety AS,981336305,32 24 48 00,,fire.safety@honeywell.com,Postboks 3514,3007,DRAMMEN,Norge,Lierstranda Industriområde,3414,LIERSTRANDA,Norge
20202,Horeca Akademiet AS,921667817,,,,c/o Ole Anders Grong,6153,ØRSTA,Norge,c/o Ole Anders Grong,6153,ØRSTA,Norge
20199,Hth Kjøkken Østfold AS,915928773,69 00 02 00,,,C/O HTH AS,250,OSLO,Norge,Dikeveien 23A,1661,ROLVSØY,Norge
20001,Haaland Klima AS,986897526,23 12 54 00,,firmapost@haaland-klima.no,Postboks 6352 Etterstad,604,OSLO,Norge,Høyenhallveien 2,667,OSLO,Norge
20104,iAlarm AS,987547227,,,,Smalvollveien 44,667,OSLO,,,,,
20367,Ibinder Norge AS,926103520,,,,Bedriftssenteret Postboks 474,1411,KOLBOTN,,Rosenholmveien 25,1414,TROLLÅSEN,Norge
20389,Ice Communication Norge AS,912672808,,,,Nydalsveien 18B,484,OSLO,,Nydalsveien 18B,484,OSLO,Norge
20272,Icopal AS,911671549,67979000,,post@icopal.com,Postboks 55,1477,FJELLHAMAR,Norge,Fjellhamarveien 52,1472,FJELLHAMAR,Norge
20215,If Skadeforsikring Norsk Avdeling,981290666,,,,Postboks 240,1326,LYSAKER,Norge,Drammensveien 264,283,OSLO,Norge
20078,"Ikano Bank Ab (publ), Norway Branch",993417262,66 85 86 40,,kundeservice@ikano.no,Postboks 295,1372,ASKER,Norge,Skysstasjon 11B,1383,ASKER,Norge
20259,Industri og Boligprodukter AS,945048247,23 24 48 00,,,Brobekkveien 80C,582,OSLO,Norge,Brobekkveien 80C,582,OSLO,Norge
